iter	RMSE
0	7.345437133
1	5.386514231
2	4.950232115
3	4.538640261
4	4.380561087
5	4.125250665
6	3.990393379
7	3.956535933
8	3.895522175
9	3.782137104
10	3.713950984
11	3.673215632
12	3.590664872
13	3.532341899
14	3.5226594
15	3.472592784
16	3.448390504
17	3.388168887
18	3.385282149
19	3.355406286
20	3.351897244
21	3.327660803
22	3.31403222
23	3.311829191
24	3.307053697
25	3.304434001
26	3.29572076
27	3.291011302
28	3.285056686
29	3.280257073
30	3.270109013
31	3.269399669
32	3.2689736
33	3.266156957
34	3.255802632
35	3.253146168
36	3.252347806
37	3.250110552
38	3.248816546
39	3.24821214
40	3.243911308
41	3.242067283
42	3.236281358
43	3.235389194
44	3.232279724
45	3.226558893
46	3.214577941
47	3.213494825
48	3.20593732
49	3.204055645
50	3.202456462
51	3.194842729
52	3.191098802
53	3.190723856
54	3.186570835
55	3.18507322
56	3.179792554
57	3.179595193
58	3.178552739
59	3.177459529
60	3.175879604
61	3.175010462
62	3.172847548
63	3.169459622
64	3.168150005
65	3.167675872
66	3.167223404
67	3.164992328
68	3.164493755
69	3.163619225
70	3.162225201
71	3.160441508
72	3.160291492
73	3.159140459
74	3.154585599
75	3.154240321
76	3.153576877
77	3.152677795
78	3.151245783
79	3.150828562
80	3.150369348
81	3.150066938
82	3.14831959
83	3.146297199
84	3.145967147
85	3.138452398
86	3.137740652
87	3.13582231
88	3.134843214
89	3.130138241
90	3.129859986
91	3.12979407
92	3.129243923
93	3.127889724
94	3.126156118
95	3.12598606
96	3.125946897
97	3.124839472
98	3.123609499
99	3.121112174
100	3.11971351
101	3.11719267
102	3.116741967
103	3.116486038
104	3.116188401
105	3.116181398
106	3.11406241
107	3.113737431
108	3.113467202
109	3.111155739
110	3.110897218
111	3.105702726
112	3.10563863
113	3.104691944
114	3.10449452
115	3.104490861
116	3.103419092
117	3.103119378
118	3.101621904
119	3.099259261
120	3.096442114
121	3.090665432
122	3.090501838
123	3.088989074
124	3.087426716
125	3.087249157
126	3.087110314
127	3.086543242
128	3.086143484
129	3.084870971
130	3.083305377
131	3.083301126
132	3.080182085
133	3.078799249
134	3.078602108
135	3.07783077
136	3.070870681
137	3.067727678
138	3.067585982
139	3.065041823
140	3.064902226
141	3.064738102
142	3.064109742
143	3.063474122
144	3.063447809
145	3.062056635
146	3.061494228
147	3.058413575
148	3.058369387
149	3.058301712
150	3.057267022
151	3.056162693
152	3.05558655
153	3.054937216
154	3.054512445
155	3.05424846
156	3.054231759
157	3.053768763
158	3.052810424
159	3.052804992
160	3.052236728
161	3.050572476
162	3.050443191
163	3.050067002
164	3.050009665
165	3.049923817
166	3.049713415
167	3.049617496
168	3.047339148
169	3.046575896
170	3.045607987
171	3.044525217
172	3.04196302
173	3.040556226
174	3.039357636
175	3.039136527
176	3.039000622
177	3.038786466
178	3.033875193
179	3.033227197
180	3.032901889
181	3.030394374
182	3.029911843
183	3.026915799
184	3.026558496
185	3.026279935
186	3.025455611
187	3.024777296
188	3.024084097
189	3.023049032
190	3.01971374
191	3.019583905
192	3.019264276
193	3.019240994
194	3.019177182
195	3.016458559
196	3.016232707
197	3.015929539
198	3.015785061
199	3.015403801
200	3.013390526
201	3.013208482
202	3.011518881
203	3.011369081
204	3.011076519
205	3.010200185
206	3.010104813
207	3.01004654
208	3.009881878
209	3.00982216
210	3.009763733
211	3.009577004
212	3.009356579
213	3.009262106
214	3.007693991
215	3.006292607
216	3.006194281
217	3.006092016
218	3.005882513
219	3.004934816
220	3.003203838
221	3.002544719
222	3.000811861
223	3.000791533
224	3.000588781
225	3.000585765
226	3.000374066
227	2.998330363
228	2.996543288
229	2.996197841
230	2.995857929
231	2.995304484
232	2.994718865
233	2.994647874
234	2.990264202
235	2.990223899
236	2.989835516
237	2.989638323
238	2.989596445
239	2.989330227
240	2.98878007
241	2.988777456
242	2.98478603
243	2.982925966
244	2.98174158
245	2.981222568
246	2.981180225
247	2.981013049
248	2.980860902
249	2.980746604
250	2.980686538
251	2.980600125
252	2.97979501
253	2.979009411
254	2.978921815
255	2.978896537
256	2.978689724
257	2.97849919
258	2.975258593
259	2.974882926
260	2.974736559
261	2.974704932
262	2.973562101
263	2.972943247
264	2.972732703
265	2.972215469
266	2.972181963
267	2.971842858
268	2.970905796
269	2.970792166
270	2.970721781
271	2.97058571
272	2.970261229
273	2.97022959
274	2.970208799
275	2.969397672
276	2.965622355
277	2.965499093
278	2.965294708
279	2.96361451
280	2.963075203
281	2.961779475
282	2.96175586
283	2.961636381
284	2.96162839
285	2.96142176
286	2.961395143
287	2.961233641
288	2.96071435
289	2.959811
290	2.956544201
291	2.956394981
292	2.956283937
293	2.955661037
294	2.955580953
295	2.955540156
296	2.955525541
297	2.95536794
298	2.955336677
299	2.952844827
