iter	RMSE
0	0.8555791637
1	0.8012645569
2	0.7500643865
3	0.7025273014
4	0.6612691249
5	0.6262270444
6	0.5937323621
7	0.5677355688
8	0.5434287022
9	0.5231314819
10	0.5068450105
11	0.4911106495
12	0.4767416353
13	0.4644831504
14	0.4544312963
15	0.4461151733
16	0.4375120681
17	0.4313786828
18	0.4282317801
19	0.4237896837
20	0.4200891089
21	0.4171724048
22	0.4139337311
23	0.4113718846
24	0.4086698446
25	0.4068446632
26	0.4055914917
27	0.4040168445
28	0.4022164296
29	0.4011950632
30	0.3999982057
31	0.3988320851
32	0.3976642535
33	0.3969225388
34	0.3965382609
35	0.3959154813
36	0.3953025787
37	0.3948841759
38	0.3944430508
39	0.39419576
40	0.393891483
41	0.3937348698
42	0.393555073
43	0.3934496999
44	0.3931583341
45	0.3928902174
46	0.3928096469
47	0.3926124592
48	0.3923565461
49	0.3923458463
50	0.3921472563
51	0.3920376623
52	0.3918306716
53	0.3916679829
54	0.3914982012
55	0.3912216465
56	0.3911337654
57	0.3909578794
58	0.390572763
59	0.3904603353
60	0.390364207
61	0.3902571653
62	0.3901071952
63	0.3897503989
64	0.3896930914
65	0.3896071492
66	0.3892797901
67	0.3891233302
68	0.388880411
69	0.388619767
70	0.3880111226
71	0.3875620913
72	0.3874560173
73	0.3871359651
74	0.3866834593
75	0.3861219854
76	0.3859641408
77	0.3857539811
78	0.3855692383
79	0.3853196123
80	0.3850100766
81	0.3845843324
82	0.3843678389
83	0.3840139784
84	0.3836294059
85	0.3834161323
86	0.3830129335
87	0.3827764652
88	0.3826736097
89	0.3824755815
90	0.3823174462
91	0.3821947855
92	0.3818491757
93	0.3816754629
94	0.381282675
95	0.3809540189
96	0.3807831005
97	0.380464973
98	0.3797008992
99	0.3793839606
