iter	Passed	Remaining
0	48	4832
1	49	2416
2	49	1612
3	50	1208
4	50	965
5	51	803
6	51	687
7	52	599
8	52	531
9	53	477
10	53	433
11	54	396
12	54	364
13	54	337
14	55	313
15	55	293
16	56	274
17	56	258
18	57	243
19	57	230
20	58	218
21	58	207
22	59	197
23	59	188
24	59	179
25	60	171
26	60	164
27	61	157
28	61	151
29	62	144
30	62	139
31	62	133
32	63	128
33	63	123
34	64	119
35	64	115
36	65	111
37	65	107
38	66	103
39	66	99
40	66	96
41	67	93
42	67	89
43	68	86
44	68	83
45	68	80
46	69	78
47	69	75
48	70	73
49	70	70
50	70	68
51	71	65
52	71	63
53	71	61
54	72	59
55	72	57
56	73	55
57	73	53
58	74	51
59	74	49
60	74	47
61	75	46
62	75	44
63	76	42
64	76	41
65	77	39
66	77	38
67	78	36
68	78	35
69	79	33
70	79	32
71	79	31
72	80	29
73	80	28
74	81	27
75	81	25
76	81	24
77	82	23
78	82	21
79	83	20
80	83	19
81	83	18
82	84	17
83	84	16
84	85	15
85	85	13
86	85	12
87	86	11
88	86	10
89	87	9
90	87	8
91	87	7
92	88	6
93	88	5
94	88	4
95	89	3
96	89	2
97	90	1
98	90	0
99	91	0
