iter	RMSE
0	0.9654208486
1	0.9250832077
2	0.8880960823
3	0.8558714709
4	0.8292626523
5	0.8051205042
6	0.7853316771
7	0.7678120563
8	0.7538352083
9	0.7409605186
10	0.7303830095
11	0.7204044616
12	0.7110631869
13	0.7064379872
14	0.6989765463
15	0.6923914824
16	0.6870645313
17	0.6816143154
18	0.6775924323
19	0.6734879492
20	0.6699349676
21	0.6667322994
22	0.6631789336
23	0.6601450195
24	0.658020272
25	0.6560419104
26	0.6538540873
27	0.6523949738
28	0.6496526419
29	0.6489791718
30	0.6471763246
31	0.645343249
32	0.6439822653
33	0.642830669
34	0.6417062986
35	0.6406924847
36	0.6395001026
37	0.6385352212
38	0.6372357323
39	0.6363854859
40	0.6350482249
41	0.6340989811
42	0.6330659515
43	0.6321941219
44	0.6309766541
45	0.6303442649
46	0.6289315206
47	0.6278286988
48	0.6277939865
49	0.6264505995
50	0.6253244118
51	0.6245768616
52	0.6240048946
53	0.6234779376
54	0.6222703522
55	0.6211727134
56	0.6199457974
57	0.6191008166
58	0.6183717517
59	0.6176665451
60	0.6165929373
61	0.6157764972
62	0.6152326555
63	0.6141875082
64	0.6140994059
65	0.6135287638
66	0.6128468897
67	0.6123749819
68	0.6117037865
69	0.6112078457
70	0.6106399465
71	0.6097504345
72	0.6089829706
73	0.6083226268
74	0.6077514031
75	0.607336291
76	0.6067148936
77	0.6060566116
78	0.6053743311
79	0.605052235
80	0.6045162018
81	0.6037931729
82	0.6033405058
83	0.6025521548
84	0.6020771544
85	0.6013421536
86	0.6009533341
87	0.6002214254
88	0.59968058
89	0.5989408541
90	0.5978462795
91	0.5971804175
92	0.5964815118
93	0.5961644728
94	0.5956285548
95	0.59517003
96	0.5944030992
97	0.5938541972
98	0.5934280026
99	0.5930099461
