iter	Passed	Remaining
0	82	8163
1	124	6122
2	274	8876
3	358	8600
4	405	7703
5	456	7145
6	526	6989
7	609	7006
8	670	6781
9	698	6287
10	727	5886
11	760	5578
12	792	5301
13	794	4878
14	828	4697
15	867	4555
16	925	4520
17	995	4535
18	1022	4360
19	1063	4254
20	1130	4251
21	1213	4301
22	1297	4344
23	1378	4366
24	1431	4293
25	1475	4199
26	1521	4114
27	1592	4094
28	1637	4009
29	1646	3842
30	1682	3745
31	1723	3661
32	1800	3655
33	1833	3559
34	1866	3466
35	1924	3421
36	1979	3370
37	2023	3301
38	2060	3222
39	2085	3127
40	2126	3059
41	2177	3007
42	2246	2978
43	2305	2933
44	2369	2896
45	2454	2881
46	2521	2843
47	2577	2792
48	2579	2684
49	2635	2635
50	2688	2583
51	2750	2538
52	2769	2455
53	2801	2386
54	2826	2312
55	2850	2239
56	2880	2173
57	2931	2122
58	2974	2067
59	3015	2010
60	3046	1947
61	3074	1884
62	3100	1821
63	3136	1764
64	3147	1694
65	3205	1651
66	3261	1606
67	3300	1553
68	3333	1497
69	3379	1448
70	3438	1404
71	3486	1355
72	3526	1304
73	3561	1251
74	3591	1197
75	3657	1154
76	3747	1119
77	3778	1065
78	3825	1016
79	3884	971
80	3928	921
81	3956	868
82	3985	816
83	4016	765
84	4052	715
85	4144	674
86	4227	631
87	4289	584
88	4337	536
89	4388	487
90	4444	439
91	4497	391
92	4537	341
93	4572	291
94	4611	242
95	4649	193
96	4687	144
97	4715	96
98	4755	48
99	4782	0
