kms_driven,fuel_type_subs,seller_type_subs,transmission_subs,owner_subs,cars_age
27000,4,0,1,0,8
43000,1,0,1,0,9
6900,4,0,1,0,5
5200,4,0,1,0,11
42450,1,0,1,0,8
2071,1,0,1,0,4
18796,4,0,1,0,7
33429,1,0,1,0,7
20273,1,0,1,0,6
42367,1,0,1,0,7
2135,4,0,1,0,5
51000,1,0,1,0,7
15000,4,0,0,0,7
26000,4,0,1,0,7
77427,4,0,1,0,13
43000,1,0,1,0,6
41678,1,0,1,0,7
43000,1,0,1,0,6
35500,0,0,1,0,7
41442,4,0,1,0,12
25000,4,0,1,0,6
2400,4,0,1,0,5
50000,4,0,0,0,11
45280,4,0,1,0,8
56879,4,0,1,0,9
20000,4,0,1,0,11
55138,4,0,1,0,9
16200,4,1,1,0,5
44542,4,0,1,0,12
45000,1,0,1,0,7
51439,1,0,1,0,10
54200,4,0,1,0,11
39000,1,0,1,0,8
45000,1,0,1,0,8
45000,1,0,1,0,8
49998,0,0,1,0,11
48767,4,0,1,0,7
10079,4,0,1,0,6
62000,4,0,1,0,19
24524,4,0,0,0,6
58000,4,0,1,0,14
45780,1,0,1,0,8
50000,4,0,1,0,10
15000,4,0,0,0,8
64532,4,0,1,0,9
65000,4,0,1,0,16
25870,4,0,1,0,7
37000,4,0,0,0,5
104707,1,0,0,0,10
40000,1,0,0,0,7
15000,1,0,0,0,5
135000,1,1,0,0,9
90000,4,1,1,0,17
70000,4,0,0,0,13
50000,4,0,1,0,12
39485,4,0,1,2,8
41000,1,0,0,0,8
40001,4,0,1,0,9
40588,4,0,1,0,7
78000,1,0,0,0,8
47000,1,0,0,0,7
6000,1,0,0,0,5
45000,1,0,1,0,8
11000,4,0,0,0,5
59000,1,0,1,0,12
88000,4,0,1,0,11
12000,4,0,1,0,6
71000,1,0,1,0,8
45000,1,0,1,0,11
56001,4,0,1,0,9
43000,4,0,1,0,11
83000,1,0,1,0,8
36000,4,0,1,0,7
72000,4,0,1,0,9
135154,4,0,0,0,18
80000,4,0,0,0,12
89000,1,0,0,0,10
23000,1,0,1,0,6
40000,1,0,1,0,7
15000,1,0,0,0,5
38000,1,0,1,0,7
197176,1,0,1,0,17
142000,4,1,0,1,16
56000,4,0,1,0,10
47000,4,0,1,0,9
40000,4,0,1,0,8
62000,4,0,1,0,13
75000,4,0,1,0,17
40000,1,0,0,0,7
89000,4,0,0,0,14
72000,4,0,1,0,10
29000,1,0,0,0,6
8700,4,0,1,0,5
45000,4,0,1,0,9
50024,1,0,1,0,12
3000,4,1,1,0,6
1400,4,1,1,0,5
4000,4,1,1,0,5
1200,4,1,1,0,5
4100,4,1,1,0,5
21700,4,1,1,0,7
16500,4,1,1,2,8
15000,4,1,1,0,9
18000,4,1,1,0,6
11000,4,1,1,0,5
6000,4,1,1,0,6
8700,4,1,1,0,6
7000,4,1,1,0,8
35000,4,1,1,0,6
17500,4,1,1,0,7
33000,4,1,1,0,9
14000,4,1,1,0,7
26000,4,1,1,0,7
5400,4,1,1,0,9
5700,4,1,1,0,6
6900,4,1,1,0,11
6000,4,1,1,0,6
46500,4,1,1,0,9
