car_name,year,selling_price,kms_driven,fuel_type,seller_type,transmission,owner
ritz,2014,335000,27000,Petrol,Dealer,Manual,First Owner
sx4,2013,475000,43000,Diesel,Dealer,Manual,First Owner
ciaz,2017,725000,6900,Petrol,Dealer,Manual,First Owner
wagon r,2011,285000,5200,Petrol,Dealer,Manual,First Owner
swift,2014,460000,42450,Diesel,Dealer,Manual,First Owner
vitara brezza,2018,925000,2071,Diesel,Dealer,Manual,First Owner
ciaz,2015,675000,18796,Petrol,Dealer,Manual,First Owner
s cross,2015,650000,33429,Diesel,Dealer,Manual,First Owner
ciaz,2016,875000,20273,Diesel,Dealer,Manual,First Owner
ciaz,2015,745000,42367,Diesel,Dealer,Manual,First Owner
alto 800,2017,285000,2135,Petrol,Dealer,Manual,First Owner
ciaz,2015,685000,51000,Diesel,Dealer,Manual,First Owner
ciaz,2015,750000,15000,Petrol,Dealer,Automatic,First Owner
ertiga,2015,610000,26000,Petrol,Dealer,Manual,First Owner
dzire,2009,225000,77427,Petrol,Dealer,Manual,First Owner
ertiga,2016,775000,43000,Diesel,Dealer,Manual,First Owner
ertiga,2015,725000,41678,Diesel,Dealer,Manual,First Owner
ertiga,2016,775000,43000,Diesel,Dealer,Manual,First Owner
wagon r,2015,325000,35500,CNG,Dealer,Manual,First Owner
sx4,2010,265000,41442,Petrol,Dealer,Manual,First Owner
alto k10,2016,285000,25000,Petrol,Dealer,Manual,First Owner
ignis,2017,490000,2400,Petrol,Dealer,Manual,First Owner
sx4,2011,440000,50000,Petrol,Dealer,Automatic,First Owner
alto k10,2014,250000,45280,Petrol,Dealer,Manual,First Owner
wagon r,2013,290000,56879,Petrol,Dealer,Manual,First Owner
swift,2011,300000,20000,Petrol,Dealer,Manual,First Owner
swift,2013,415000,55138,Petrol,Dealer,Manual,First Owner
swift,2017,600000,16200,Petrol,Individual,Manual,First Owner
alto k10,2010,195000,44542,Petrol,Dealer,Manual,First Owner
ciaz,2015,745000,45000,Diesel,Dealer,Manual,First Owner
ritz,2012,310000,51439,Diesel,Dealer,Manual,First Owner
ritz,2011,235000,54200,Petrol,Dealer,Manual,First Owner
swift,2014,495000,39000,Diesel,Dealer,Manual,First Owner
ertiga,2014,600000,45000,Diesel,Dealer,Manual,First Owner
dzire,2014,550000,45000,Diesel,Dealer,Manual,First Owner
sx4,2011,295000,49998,CNG,Dealer,Manual,First Owner
dzire,2015,465000,48767,Petrol,Dealer,Manual,First Owner
alto k10,2016,300000,10079,Petrol,Dealer,Manual,First Owner
sx4,2003,225000,62000,Petrol,Dealer,Manual,First Owner
baleno,2016,585000,24524,Petrol,Dealer,Automatic,First Owner
sx4,2008,195000,58000,Petrol,Dealer,Manual,First Owner
dzire,2014,550000,45780,Diesel,Dealer,Manual,First Owner
omni,2012,125000,50000,Petrol,Dealer,Manual,First Owner
ciaz,2014,750000,15000,Petrol,Dealer,Automatic,First Owner
ritz,2013,265000,64532,Petrol,Dealer,Manual,First Owner
wagon r,2006,105000,65000,Petrol,Dealer,Manual,First Owner
ertiga,2015,580000,25870,Petrol,Dealer,Manual,First Owner
ciaz,2017,775000,37000,Petrol,Dealer,Automatic,First Owner
fortuner,2012,1490000,104707,Diesel,Dealer,Automatic,First Owner
fortuner,2015,2300000,40000,Diesel,Dealer,Automatic,First Owner
innova,2017,1800000,15000,Diesel,Dealer,Automatic,First Owner
fortuner,2013,1600000,135000,Diesel,Individual,Automatic,First Owner
innova,2005,275000,90000,Petrol,Individual,Manual,First Owner
corolla altis,2009,360000,70000,Petrol,Dealer,Automatic,First Owner
corolla altis,2010,475000,50000,Petrol,Dealer,Manual,First Owner
etios g,2014,410000,39485,Petrol,Dealer,Manual,Second Owner
fortuner,2014,1999000,41000,Diesel,Dealer,Automatic,First Owner
corolla altis,2013,695000,40001,Petrol,Dealer,Manual,First Owner
etios cross,2015,450000,40588,Petrol,Dealer,Manual,First Owner
fortuner,2014,1875000,78000,Diesel,Dealer,Automatic,First Owner
fortuner,2015,2350000,47000,Diesel,Dealer,Automatic,First Owner
fortuner,2017,3300000,6000,Diesel,Dealer,Automatic,First Owner
etios liva,2014,475000,45000,Diesel,Dealer,Manual,First Owner
innova,2017,1975000,11000,Petrol,Dealer,Automatic,First Owner
fortuner,2010,925000,59000,Diesel,Dealer,Manual,First Owner
corolla altis,2011,435000,88000,Petrol,Dealer,Manual,First Owner
corolla altis,2016,1425000,12000,Petrol,Dealer,Manual,First Owner
etios liva,2014,395000,71000,Diesel,Dealer,Manual,First Owner
corolla altis,2011,450000,45000,Diesel,Dealer,Manual,First Owner
corolla altis,2013,745000,56001,Petrol,Dealer,Manual,First Owner
etios liva,2011,265000,43000,Petrol,Dealer,Manual,First Owner
etios cross,2014,490000,83000,Diesel,Dealer,Manual,First Owner
etios g,2015,395000,36000,Petrol,Dealer,Manual,First Owner
corolla altis,2013,550000,72000,Petrol,Dealer,Manual,First Owner
corolla,2004,150000,135154,Petrol,Dealer,Automatic,First Owner
corolla altis,2010,525000,80000,Petrol,Dealer,Automatic,First Owner
fortuner,2012,1450000,89000,Diesel,Dealer,Automatic,First Owner
corolla altis,2016,1473000,23000,Diesel,Dealer,Manual,First Owner
etios gd,2015,475000,40000,Diesel,Dealer,Manual,First Owner
innova,2017,2300000,15000,Diesel,Dealer,Automatic,First Owner
innova,2015,1250000,38000,Diesel,Dealer,Manual,First Owner
innova,2005,349000,197176,Diesel,Dealer,Manual,First Owner
camry,2006,250000,142000,Petrol,Individual,Automatic,Fourth & Above Owner
