iter	RMSE
0	7.235515606
1	5.570714103
2	4.401755452
3	3.561207072
4	3.049376814
5	2.742834224
6	2.516419745
7	2.367466592
8	2.209753905
9	2.098871895
10	1.995745935
11	1.907768829
12	1.827557236
13	1.788414192
14	1.746983046
15	1.712680829
16	1.658668018
17	1.624859243
18	1.599377719
19	1.54579323
20	1.518625873
21	1.464103037
22	1.429784129
23	1.394924017
24	1.356573785
25	1.3277729
26	1.292351297
27	1.25104459
28	1.237177356
29	1.200504514
30	1.193451049
31	1.153749908
32	1.111164318
33	1.086121311
34	1.055224488
35	1.021752398
36	0.9895164459
37	0.9704853055
38	0.9546886036
39	0.9280125005
40	0.9118843571
41	0.8754725139
42	0.8590721947
43	0.8500179796
44	0.8337094452
45	0.813300219
46	0.8121330618
47	0.8044866637
48	0.7786354018
49	0.7571856524
50	0.7495115128
51	0.7262682039
52	0.7107107378
53	0.6972968079
54	0.6836965604
55	0.6755582278
56	0.6571915129
57	0.644582926
58	0.6346090382
59	0.6312340359
60	0.6273181396
61	0.6100115354
62	0.5994944451
63	0.5875431673
64	0.5810582301
65	0.5716660663
66	0.5524611549
67	0.5392683011
68	0.5243015358
69	0.5117546329
70	0.4997456473
71	0.4929578941
72	0.4834061578
73	0.4756068672
74	0.4679905449
75	0.4621739149
76	0.4576459514
77	0.4524889789
78	0.4453061438
79	0.4407780713
