iter	Passed	Remaining
0	106	8423
1	149	5841
2	193	4961
3	237	4505
4	283	4250
5	324	4007
6	370	3861
7	414	3726
8	459	3621
9	502	3515
10	544	3418
11	590	3344
12	633	3265
13	679	3202
14	722	3132
15	762	3051
16	808	2995
17	855	2948
18	900	2890
19	945	2836
20	991	2785
21	1036	2733
22	1079	2675
23	1124	2623
24	1168	2571
25	1216	2527
26	1274	2501
27	1316	2445
28	1359	2391
29	1403	2338
30	1444	2282
31	1490	2235
32	1537	2189
33	1584	2143
34	1628	2093
35	1675	2048
36	1721	2000
37	1768	1954
38	1812	1905
39	1857	1857
40	1899	1806
41	1942	1757
42	1990	1713
43	2035	1665
44	2079	1617
45	2123	1569
46	2127	1493
47	2172	1448
48	2216	1402
49	2262	1357
50	2305	1310
51	2348	1264
52	2393	1219
53	2438	1174
54	2485	1129
55	2530	1084
56	2573	1038
57	2615	992
58	2659	946
59	2705	901
60	2750	856
61	2796	811
62	2838	765
63	2880	720
64	2901	669
65	2943	624
66	2988	579
67	3034	535
68	3078	490
69	3120	445
70	3164	401
71	3210	356
72	3255	312
73	3301	267
74	3347	223
75	3391	178
76	3437	133
77	3479	89
78	3524	44
79	3569	0
