Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,Alcohol_was_missing,Hepatitis B_was_missing, BMI _was_missing,Polio_was_missing,Total expenditure_was_missing,Diphtheria _was_missing,GDP_was_missing,Population_was_missing, thinness  1-19 years_was_missing, thinness 5-9 years_was_missing,Income composition of resources_was_missing,Schooling_was_missing
2011.0,0.0,27.0,47.0,0.33,21.23698847,4.0,2046.0,2.5,61.0,9.0,1.87,84.0,0.5,1186.423937,555331.0,13.0,13.3,0.526,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,0.0,259.0,8.0,3.5149999999999997,0.0,52.0,1060.0,27.3,11.0,52.0,5.715,52.0,0.9,452.38717,4499621.0,6.5,6.4,0.427,9.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,0.0,113.0,0.0,6.56,666.7374371,91.0,5.0,59.7,0.0,95.0,6.92,95.0,0.1,7318.742449,6279.0,1.9,2.0,0.792,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001.0,0.0,177.0,0.0,4.38,70.15536981,92.0,0.0,25.8,0.0,93.0,3.87,92.0,0.1,3792.182152,1196287.0,8.0,8.0,0.673,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,0.0,217.0,7.0,2.55,490.4181326,97.0,0.0,45.0,8.0,97.0,1.98,97.0,0.1,5649.978486,517461.0,3.2,3.3,0.665,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002.0,1.0,74.0,0.0,2.16,142.0989818,95.0,211.0,29.2,0.0,94.0,2.84,94.0,0.1,2216.83279,1384969.0,2.1,2.0,0.818,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2014.0,0.0,282.0,4.0,0.01,50.06053544,87.0,1.0,25.6,6.0,87.0,5.59,87.0,3.4,642.6256154,1725744.0,7.3,7.1,0.419,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004.0,0.0,169.0,0.0,0.85,334.1673373,63.0,0.0,44.1,0.0,67.0,4.12,69.0,0.1,1787.94723,24143.0,1.6,1.5,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001.0,0.0,185.0,28.0,1.53,43.66385568,92.0,22.0,35.3,34.0,99.0,5.28,99.0,0.2,456.734892,2496445.0,3.4,3.3,0.594,10.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.0,416.0,9.0,2.26,0.0,92.0,1678.0,19.3,14.0,31.0,2.13,33.0,7.8,1634.84496,1384969.0,9.5,9.2,0.487,9.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2011.0,0.0,111.0,0.0,5.97,417.9117441,95.0,0.0,61.8,1.0,95.0,8.55,95.0,0.1,14166.4998,3385624.0,1.5,1.5,0.78,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,0.0,255.0,2.0,8.86,154.8758879,79.0,122.0,35.2,3.0,77.0,3.98,79.0,3.7,9679.742995,1817271.0,6.2,6.1,0.678,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006.0,0.0,396.0,549.0,9.66,10.35779424,27.0,704.0,19.9,879.0,46.0,3.66,4.0,5.3,119.743286,14261494.0,12.6,12.6,0.466,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
