incidenceRate,medIncome,povertyPercent,PctEmployed16_Over,PctPrivateCoverage,PctPublicCoverageAlone
489.8,61898,11.2,51.9,75.1,14.0
411.6,48127,18.6,55.9,70.2,15.3
349.7,49348,14.6,45.9,63.7,21.1
430.4,44243,17.1,48.3,58.4,25.0
350.1,49955,12.5,48.2,61.6,22.7
505.4,52313,15.6,44.1,60.0,20.2
461.8,37782,23.2,51.8,49.5,28.7
404.0,40189,17.8,40.9,55.8,24.1
459.4,42579,22.3,39.5,55.5,26.6
510.9,60397,13.1,56.6,69.9,16.5
413.3,54721,12.7,54.6,67.2,18.3
398.9,52673,12.6,51.5,64.4,20.5
493.4,71890,9.9,62.1,73.3,14.1
440.7,50083,16.3,55.1,65.2,21.4
423.8,43823,19.3,46.3,58.3,24.1
495.9,61653,11.9,56.5,74.5,13.7
463.2,51022,13.9,35.7,64.7,20.4
390.5,41837,28.4,53.4,78.3,11.9
411.0,44342,20.5,56.0,54.6,22.4
445.2,35615,21.5,46.5,55.6,26.4
463.1,56737,13.2,58.7,70.0,17.3
501.8,37625,22.1,39.5,60.2,25.4
396.6,33817,22.2,44.3,56.1,25.4
481.6,43572,15.1,51.9,68.3,19.4
483.4,34887,21.9,50.3,63.3,21.7
459.9,32162,21.8,39.9,52.4,25.2
591.0,32961,25.1,39.6,48.7,32.5
234.0,41838,17.4,41.0,55.2,25.4
457.0,36739,21.4,42.6,53.4,27.8
356.3,41039,17.0,51.3,65.1,21.2
494.9,36996,21.1,48.2,61.9,22.1
475.1,35980,21.2,46.0,50.5,31.1
495.0,48178,12.9,53.2,69.5,17.1
374.9,41010,15.3,53.7,65.8,19.1
506.6,42121,13.9,53.0,64.0,21.3
475.8,41121,16.7,46.8,66.9,21.3
423.7,66950,10.2,60.3,73.3,14.6
508.7,43936,16.8,54.1,66.0,20.4
553.0,40568,20.0,47.1,56.4,26.9
513.2,34295,24.4,42.2,51.7,31.6
457.1,24707,34.9,27.0,39.7,37.7
456.3,43356,15.2,50.9,70.3,17.0
463.4,35799,20.6,41.2,59.6,26.6
493.8,35046,20.5,46.6,56.4,27.1
456.6,40012,16.1,47.0,58.6,23.3
507.0,29839,28.1,38.1,51.6,31.3
444.5,43835,22.5,55.4,76.5,12.4
434.6,36351,19.3,48.0,60.5,23.7
425.4,44446,13.0,49.3,63.7,17.3
455.5,36375,19.6,46.5,61.6,23.5
500.9,40195,18.4,56.0,70.9,16.8
381.8,38204,16.7,45.4,59.8,24.1
458.9,44801,16.5,45.6,71.6,17.7
384.8,34341,17.6,50.7,60.0,23.0
435.3,41420,17.6,49.5,63.5,21.1
