incidenceRate,medIncome,povertyPercent,PctEmployed16_Over,PctPrivateCoverage,PctPublicCoverageAlone
444.5,51907,10.9,22.1,66.6,21.8
408.0,47631,13.4,61.7,62.9,21.9
482.7,43067,15.4,36.0,70.1,16.6
425.8,39801,19.0,53.3,59.5,20.2
492.1,30460,25.2,50.3,51.8,26.8
453.5494221,65549,10.9,54.7,80.2,10.6
458.9,58558,14.4,60.6,73.6,16.0
469.1,40397,21.7,52.7,58.7,21.7
453.5494221,50175,12.7,63.9,72.5,17.9
453.5494221,47180,14.0,46.0,56.5,16.5
492.5,41045,17.5,51.8,58.2,27.5
415.4,52930,14.1,69.5,81.2,9.7
453.5494221,43038,18.0,62.7,67.3,16.5
437.0,36436,22.4,46.9,54.3,22.6
427.9,41983,16.1,51.3,69.5,18.8
327.2,56080,10.4,64.6,78.8,10.3
379.3,31420,38.6,43.2,32.0,41.4
472.3,67106,12.3,55.3,69.2,18.1
399.8,44129,17.5,45.9,65.0,19.2
442.4,37693,20.8,50.5,61.0,21.1
493.3,53316,13.9,52.9,64.7,23.1
392.9,36945,29.7,43.2,39.1,30.9
539.0,33646,23.6,48.9,57.2,25.5
460.6,50753,17.0,58.1,69.2,17.1
446.1,31615,25.9,49.0,50.6,27.6
443.1,52606,8.9,64.6,79.3,12.1
372.7,33986,21.7,42.8,58.0,19.2
443.1,52367,9.9,66.5,80.6,12.6
475.5,45207,17.2,53.5,57.3,16.8
475.4,43124,16.7,53.7,63.0,19.8
420.0,46945,12.3,57.9,67.1,18.5
441.8,66560,8.2,56.8,75.5,11.9
424.9,43377,15.9,52.1,56.2,18.9
431.6,44905,12.8,64.1,71.4,16.8
415.7,43731,20.7,58.0,54.4,20.8
388.1,41914,21.8,59.3,60.4,15.6
498.3,39757,21.5,50.7,61.7,22.6
502.1,35927,26.8,48.3,56.5,27.1
416.7,51199,12.1,57.4,64.5,17.0
516.6,34788,19.3,49.4,51.9,22.6
471.5,90640,5.4,69.8,82.6,11.6
363.9,39995,20.1,48.3,54.5,27.8
444.1,44010,16.8,53.3,62.1,20.9
453.5494221,60322,10.3,51.5,70.7,12.9
435.3,64258,7.9,57.4,80.0,10.6
437.7,38887,23.2,47.7,56.0,26.3
406.2,108477,4.2,62.1,89.6,4.2
469.4,48499,14.7,67.5,65.7,16.7
383.8,40788,19.8,44.8,50.2,22.5
348.6,51201,10.0,64.2,79.3,9.9
329.9,38281,16.3,60.3,48.3,19.8
499.4,43097,17.9,45.9,61.4,20.1
453.5494221,45368,14.3,59.0,67.7,16.9
499.0,42588,20.0,51.5,64.0,24.2
453.5494221,65373,10.0,64.8,80.4,10.7
471.0,100194,5.0,65.0,82.2,8.6
488.4,39643,19.4,56.2,66.6,12.9
426.3,39779,16.9,51.6,59.2,24.3
453.5494221,41797,11.5,59.7,79.7,9.7
500.8,61423,7.9,67.2,81.4,12.7
447.0,56270,8.4,64.5,83.6,8.8
350.1,60435,13.2,59.8,60.5,9.0
413.6,57428,17.0,54.3,55.6,23.1
501.8,48824,14.7,51.8,65.2,17.0
432.5,26204,36.2,38.3,33.8,37.1
460.3,28086,26.1,41.6,40.8,33.2
453.7,38387,19.7,48.2,59.7,23.3
449.3,49717,11.0,55.6,75.8,15.5
412.1,47227,16.0,53.5,53.5,19.0
448.1,41017,17.7,44.5,56.3,20.2
471.1,49516,13.0,58.4,68.5,19.6
359.8,62376,11.2,65.1,56.2,10.1
499.3,47160,26.1,53.4,35.8,33.7
515.3,30682,28.1,44.9,42.4,33.5
390.1,80835,7.9,68.4,75.3,8.7
259.0,68352,9.7,74.3,68.3,8.7
454.6,35528,20.1,45.3,58.8,22.8
460.8,47225,20.8,57.4,59.0,24.5
429.1,48887,12.3,61.2,76.9,13.0
344.4,56309,10.7,61.9,78.1,12.0
528.0,85886,7.7,61.0,77.9,12.0
465.5,49837,12.1,63.5,74.4,15.2
417.4,61730,9.7,55.2,76.5,12.3
500.2,46484,15.0,53.3,63.2,21.5
558.3,27777,33.0,31.7,46.5,33.4
484.1,54472,10.9,54.1,74.2,15.0
500.4,39561,21.2,46.2,57.2,20.3
294.6,46364,13.1,56.1,56.3,17.8
436.0,55708,10.2,64.8,78.2,12.2
501.5,40496,13.8,58.3,65.2,17.6
453.5494221,63924,9.5,63.4,81.1,9.5
389.3,59904,10.0,57.5,63.8,16.0
422.5,38595,20.1,48.3,56.9,23.4
347.2,56772,10.3,46.2,66.6,17.4
464.8,44139,18.0,45.5,61.3,18.1
315.2,75920,4.9,69.6,81.8,10.6
420.9,50243,11.9,64.9,71.9,17.2
