iter	RMSE
0	0.1588604722
1	0.1587063708
2	0.158547139
3	0.1583711916
4	0.1582143805
5	0.1580523692
6	0.1579176786
7	0.1577457728
8	0.1575762036
9	0.1574215063
10	0.1572623443
11	0.1571201439
12	0.1569813963
13	0.1568363918
14	0.15667778
15	0.1565334863
16	0.1563711364
17	0.1562083109
18	0.1560564897
19	0.1559029073
20	0.1557454419
21	0.155589656
22	0.1554402075
23	0.1552933899
24	0.1551402566
25	0.1549965435
26	0.1548457059
27	0.1547012598
28	0.1545533387
29	0.1544103902
30	0.1542617724
31	0.1541311897
32	0.1539778299
33	0.1538340323
34	0.1536870216
35	0.1535387963
36	0.1533988549
37	0.1532695978
38	0.1531222205
39	0.1529773725
40	0.1528320022
41	0.152696164
42	0.1525636795
43	0.1524140116
44	0.1522763136
45	0.1521417531
46	0.1520035009
47	0.151860308
48	0.1517178081
49	0.1515838836
50	0.1514503783
51	0.1513028795
52	0.1511757675
53	0.151053004
54	0.1509182078
55	0.1507992394
56	0.1506712736
57	0.1505475758
58	0.1504156126
59	0.1502945459
60	0.1501566926
61	0.1500237198
62	0.1498842784
63	0.1497672988
64	0.149636216
65	0.1495084041
66	0.1493823495
67	0.1492621206
68	0.1491341695
69	0.1490101387
70	0.148890035
71	0.1487657217
72	0.1486498889
73	0.1485452521
74	0.1484241472
75	0.1482977028
76	0.1481644694
77	0.1480455955
78	0.1479313582
79	0.1478061867
80	0.1476828072
81	0.1475636836
82	0.147444994
83	0.147314505
84	0.1471936569
85	0.1470772988
86	0.1469741604
87	0.1468554674
88	0.1467309312
89	0.1466168931
90	0.1464911483
91	0.1463753295
92	0.1462553079
93	0.146146199
94	0.1460344937
95	0.1459293105
96	0.1458095462
97	0.1457021688
98	0.145582048
99	0.1454777945
