iter	Passed	Remaining
0	55	5480
1	58	2859
2	61	1987
3	66	1591
4	69	1315
5	70	1109
6	73	970
7	75	869
8	77	780
9	79	712
10	80	654
11	83	610
12	85	569
13	88	540
14	89	508
15	91	479
16	92	452
17	94	428
18	95	407
19	96	387
20	98	370
21	99	354
22	101	340
23	103	326
24	104	313
25	106	301
26	107	290
27	108	280
28	110	270
29	111	261
30	113	252
31	114	244
32	116	236
33	118	229
34	119	222
35	121	215
36	122	209
37	124	202
38	125	196
39	127	190
40	128	185
41	130	180
42	131	174
43	133	169
44	134	164
45	136	160
46	138	155
47	139	151
48	141	146
49	142	142
50	144	138
51	145	134
52	147	130
53	148	126
54	150	122
55	151	119
56	153	115
57	154	111
58	156	108
59	157	105
60	159	101
61	160	98
62	162	95
63	163	91
64	165	88
65	166	85
66	168	82
67	169	79
68	171	76
69	172	73
70	174	71
71	175	68
72	177	65
73	178	62
74	180	60
75	181	57
76	183	54
77	184	52
78	186	49
79	187	46
80	189	44
81	190	41
82	192	39
83	193	36
84	195	34
85	197	32
86	198	29
87	200	27
88	201	24
89	203	22
90	204	20
91	205	17
92	207	15
93	208	13
94	209	11
95	211	8
96	212	6
97	214	4
98	215	2
99	217	0
