longitude,latitude,housing_median_age,total_rooms,population,households,median_income,ocean_proximity
-122.27,37.82,21.0,896.0,735.0,438.0,0.9218,3
-117.93,34.06,37.0,1505.0,798.0,259.0,5.4635,0
-121.7,38.6,16.0,2372.0,1400.0,583.0,2.8922,1
-122.07,37.86,17.0,1102.0,317.0,208.0,3.5893,3
-117.83,33.74,23.0,6114.0,4088.0,1521.0,3.0382,0
-121.33,38.61,21.0,2453.0,1326.0,505.0,2.7079,1
-116.96,32.86,14.0,3064.0,1681.0,503.0,4.4347,0
-122.32,37.57,33.0,3384.0,2626.0,793.0,3.2285,4
-118.38,34.04,35.0,2237.0,1794.0,543.0,2.2961,0
-118.2,33.98,32.0,1403.0,1506.0,375.0,2.0,0
-121.96,37.71,6.0,8072.0,3386.0,1062.0,7.2494,0
-122.08,37.67,29.0,493.0,233.0,152.0,0.9637,3
-118.03,34.16,39.0,2731.0,1034.0,338.0,9.8098,1
-121.65,39.35,24.0,1003.0,1098.0,227.0,1.7552,1
-119.63,36.18,23.0,207.0,171.0,50.0,2.4286,1
-117.94,34.04,34.0,1403.0,977.0,257.0,3.8409,0
-121.02,39.23,16.0,1427.0,642.0,333.0,1.4241,1
-117.67,34.1,28.0,1263.0,601.0,219.0,3.875,1
-122.46,37.7,37.0,1028.0,904.0,261.0,3.5035,4
-122.03,37.39,22.0,3280.0,1842.0,795.0,4.4107,0
-121.82,39.75,29.0,7744.0,3316.0,1365.0,3.0253,1
-117.68,33.49,18.0,4173.0,1649.0,634.0,6.3568,0
-117.32,34.06,46.0,476.0,476.0,91.0,1.4511,1
-118.39,33.79,30.0,4402.0,1582.0,551.0,10.898,4
-121.36,38.56,17.0,6225.0,3064.0,947.0,5.2881,1
-118.3,34.0,52.0,1296.0,853.0,238.0,3.05,0
-121.93,36.63,41.0,1049.0,428.0,183.0,4.3571,4
-118.94,34.17,16.0,3746.0,1556.0,452.0,6.3303,0
-117.12,32.76,27.0,1426.0,792.0,353.0,2.0673,4
-118.5,34.26,33.0,2831.0,1340.0,504.0,4.8316,0
-120.93,37.66,10.0,7566.0,3227.0,1199.0,4.744,1
-122.42,37.8,52.0,2852.0,838.0,510.0,8.0755,3
-118.26,33.78,36.0,2191.0,2931.0,692.0,2.1311,4
-118.42,34.01,33.0,2731.0,1280.0,510.0,4.7083,0
-118.4,34.04,43.0,3863.0,1398.0,511.0,8.5938,0
-118.32,34.04,47.0,1989.0,1430.0,519.0,1.8333,0
-118.03,33.9,36.0,1143.0,826.0,188.0,5.3184,0
-121.99,38.15,36.0,263.0,88.0,42.0,2.5313,1
-122.06,37.68,30.0,5367.0,2667.0,1047.0,3.1796,3
-121.84,37.32,16.0,1866.0,1835.0,412.0,5.3363,0
-119.4,36.25,25.0,1696.0,909.0,291.0,2.3,1
-118.32,34.17,39.0,1995.0,1202.0,544.0,3.5875,0
-118.74,34.27,23.0,2493.0,1488.0,505.0,4.18,0
-118.09,33.89,42.0,991.0,717.0,219.0,4.0926,0
-119.77,36.81,28.0,1713.0,663.0,282.0,3.567,1
-122.15,37.72,31.0,1616.0,739.0,379.0,2.9097,3
-122.43,37.8,52.0,2994.0,1240.0,779.0,3.3715,3
-118.5,34.03,44.0,2146.0,851.0,355.0,6.48,0
-118.37,33.87,18.0,2516.0,1128.0,433.0,5.0114,0
-122.51,37.78,47.0,2496.0,1201.0,454.0,4.0353,3
-117.16,33.61,3.0,2744.0,1223.0,366.0,4.7944,0
-121.97,37.28,27.0,2427.0,1301.0,438.0,5.0385,0
-122.42,37.75,52.0,801.0,639.0,259.0,2.1971,3
-118.21,33.96,48.0,284.0,422.0,119.0,1.2826,0
-118.32,34.62,31.0,1398.0,884.0,299.0,4.8409,1
-117.13,32.8,35.0,2129.0,1044.0,350.0,3.9732,4
-118.3,33.99,45.0,1701.0,1484.0,427.0,1.84,0
-118.24,33.95,37.0,649.0,653.0,147.0,1.4792,0
-122.42,37.66,41.0,2189.0,1063.0,409.0,4.7361,4
-122.23,38.33,31.0,3440.0,1538.0,537.0,5.5368,3
-119.58,36.1,21.0,1382.0,1469.0,355.0,1.3967,1
-117.25,33.12,8.0,8552.0,3335.0,1323.0,5.311,4
-117.92,33.79,26.0,2737.0,1877.0,606.0,2.8622,0
-119.29,34.4,22.0,3891.0,1727.0,581.0,4.2656,4
-117.95,33.78,9.0,3553.0,2017.0,986.0,2.9726,0
-118.43,34.15,42.0,1293.0,459.0,217.0,7.672,0
-119.82,34.44,28.0,1992.0,1622.0,509.0,2.7689,4
-117.05,33.13,20.0,7746.0,5370.0,1838.0,2.3762,0
-117.31,34.41,14.0,3019.0,1639.0,582.0,1.5288,1
-118.36,33.92,19.0,2807.0,1546.0,815.0,2.6375,0
-118.07,34.1,34.0,2253.0,1262.0,511.0,3.4375,0
-118.38,34.2,32.0,993.0,1044.0,248.0,2.4306,0
-118.18,33.83,45.0,1535.0,591.0,276.0,4.2411,4
-118.14,34.18,52.0,1700.0,996.0,329.0,3.9688,0
-122.39,37.72,45.0,2893.0,1923.0,535.0,3.6607,3
-119.3,36.34,27.0,1515.0,1178.0,309.0,1.4432,1
-122.45,37.77,52.0,3095.0,1269.0,639.0,3.575,3
-118.25,33.98,37.0,1045.0,1666.0,337.0,1.7929,0
-118.28,34.04,48.0,1521.0,1772.0,458.0,2.2232,0
-118.01,34.07,24.0,5684.0,6626.0,1481.0,2.2559,1
-118.32,34.06,43.0,2808.0,1654.0,569.0,4.125,0
-118.06,34.12,34.0,2941.0,1660.0,576.0,4.5667,1
-118.01,34.08,30.0,2281.0,1969.0,500.0,3.6531,1
-119.12,34.25,31.0,737.0,1436.0,168.0,3.5625,4
-119.7,36.8,34.0,1768.0,888.0,314.0,3.8088,1
-117.67,33.54,15.0,2423.0,1366.0,423.0,4.8906,0
-120.02,39.24,24.0,1602.0,751.0,257.0,1.7609,1
-122.32,37.99,24.0,4865.0,2315.0,893.0,4.2852,3
-122.48,37.71,43.0,3850.0,1497.0,829.0,3.5296,4
-118.19,33.79,37.0,1834.0,1967.0,476.0,2.137,4
-122.24,40.45,27.0,1804.0,782.0,300.0,3.5978,1
-122.36,37.95,38.0,1066.0,729.0,286.0,1.5139,3
-119.81,36.78,35.0,1012.0,633.0,240.0,2.0324,1
-118.45,34.2,19.0,3666.0,2657.0,1090.0,2.9688,0
-117.0,32.76,31.0,2545.0,956.0,342.0,4.3977,0
-118.36,34.09,38.0,2158.0,1061.0,577.0,2.9643,0
-117.98,33.76,29.0,1518.0,1086.0,317.0,4.32,0
-117.6,34.03,16.0,1499.0,918.0,239.0,5.5677,1
-119.32,36.25,21.0,1231.0,609.0,206.0,2.8365,1
-119.65,36.34,46.0,1730.0,752.0,323.0,1.8529,1
-118.42,34.22,29.0,1807.0,1234.0,310.0,5.3767,0
-118.2,33.77,40.0,2034.0,1257.0,797.0,1.2864,4
-118.12,34.17,52.0,2166.0,1308.0,467.0,3.0417,1
-118.08,33.85,22.0,1055.0,682.0,216.0,6.0,0
-118.34,34.03,46.0,2437.0,1151.0,477.0,2.4444,0
-117.86,33.89,22.0,4386.0,1915.0,592.0,6.6897,0
-121.81,37.31,15.0,1898.0,1527.0,381.0,4.4792,0
-123.15,39.31,19.0,1026.0,424.0,152.0,2.8833,1
-116.72,34.89,14.0,4527.0,1640.0,590.0,2.8594,1
-118.06,33.99,38.0,862.0,484.0,176.0,4.375,0
-117.9,33.9,18.0,3821.0,1430.0,568.0,6.9399,0
-117.7,33.63,16.0,4428.0,1525.0,682.0,5.2325,0
-118.13,34.02,36.0,984.0,1024.0,284.0,2.125,0
-118.24,33.95,37.0,441.0,390.0,98.0,1.6513,0
-119.21,34.31,22.0,7548.0,2855.0,1008.0,6.729,4
-118.16,33.79,25.0,5463.0,3010.0,1179.0,3.233,4
-118.19,34.67,8.0,11275.0,5731.0,1692.0,5.0285,1
-121.87,37.38,16.0,3275.0,1863.0,527.0,5.5429,0
-121.06,37.7,7.0,9374.0,4827.0,1722.0,3.462,1
-117.19,32.79,35.0,1788.0,777.0,374.0,3.3713,4
-119.53,36.78,20.0,2822.0,1372.0,455.0,4.5625,1
-118.54,34.23,29.0,1753.0,1318.0,333.0,4.125,0
-118.35,34.05,44.0,1856.0,1374.0,469.0,2.0984,0
-117.13,32.76,33.0,1591.0,794.0,425.0,2.6333,4
-118.62,34.18,25.0,3124.0,1241.0,439.0,6.4044,0
-122.49,37.86,52.0,2175.0,809.0,503.0,4.5398,3
-118.25,33.89,35.0,1582.0,1957.0,404.0,2.4537,0
-118.23,34.17,37.0,4524.0,2099.0,937.0,3.5781,0
-122.01,37.34,31.0,3080.0,1493.0,582.0,6.3052,0
-118.2,34.04,44.0,1582.0,1998.0,515.0,1.6888,0
-118.27,34.16,45.0,1865.0,973.0,349.0,3.6587,0
-118.96,37.64,11.0,3934.0,901.0,345.0,4.2381,1
-120.67,35.62,6.0,12779.0,6085.0,2157.0,3.8661,0
-119.04,34.28,21.0,1856.0,863.0,255.0,4.5833,0
-119.81,36.78,37.0,1965.0,796.0,335.0,3.625,1
-118.37,34.14,21.0,4670.0,1914.0,1094.0,3.7986,0
-121.58,37.01,44.0,3192.0,1439.0,568.0,4.3693,1
-119.71,36.73,19.0,3972.0,1586.0,560.0,5.2608,1
-122.27,37.88,37.0,2619.0,1152.0,616.0,2.52,3
-118.44,34.0,44.0,1462.0,821.0,341.0,2.599,0
-119.25,35.78,27.0,1513.0,1346.0,323.0,2.7411,1
-119.77,36.74,20.0,1855.0,1091.0,443.0,1.5547,1
-121.99,37.39,25.0,3495.0,2484.0,797.0,4.8145,0
-118.1,33.94,33.0,639.0,460.0,118.0,3.1607,0
-121.47,38.55,24.0,979.0,546.0,291.0,1.186,1
-122.46,37.76,52.0,1817.0,948.0,380.0,3.93,3
-121.4,38.49,12.0,7290.0,3960.0,1248.0,3.5968,1
-118.35,33.95,42.0,1779.0,1507.0,380.0,2.8892,0
-122.35,37.93,28.0,1995.0,1182.0,439.0,2.3352,3
-119.8,36.68,31.0,2214.0,1326.0,416.0,2.1691,1
-124.14,40.67,23.0,580.0,320.0,109.0,4.2054,4
-121.38,38.55,23.0,2790.0,1407.0,460.0,4.3288,1
-118.44,34.15,38.0,1387.0,713.0,343.0,2.9352,0
-119.74,36.76,42.0,2093.0,1621.0,438.0,1.7994,1
-118.18,34.14,38.0,3039.0,1131.0,465.0,7.7116,0
-122.44,37.73,46.0,3581.0,1670.0,703.0,4.1932,3
-122.37,37.96,37.0,1572.0,1046.0,350.0,0.7403,3
-118.03,34.06,31.0,1513.0,1396.0,364.0,2.4706,0
-118.3,33.87,31.0,1398.0,823.0,263.0,5.0641,0
-123.18,39.26,25.0,3066.0,1558.0,535.0,3.788,0
-120.47,35.74,9.0,4267.0,2065.0,691.0,3.7303,0
-117.04,32.77,21.0,1824.0,962.0,431.0,2.7826,0
-122.2,37.47,37.0,1403.0,1587.0,331.0,2.8258,3
-115.57,32.79,34.0,1152.0,621.0,208.0,3.6042,1
-117.24,32.72,39.0,3819.0,1361.0,583.0,6.6013,4
-117.34,33.94,20.0,4589.0,1660.0,595.0,7.4141,1
-122.45,37.72,47.0,1773.0,1083.0,315.0,4.475,3
-118.32,33.88,37.0,1402.0,722.0,251.0,6.4781,0
-121.28,37.96,28.0,1942.0,1618.0,638.0,0.9365,1
-121.53,39.52,30.0,1030.0,448.0,159.0,2.4821,1
-122.23,37.81,52.0,2814.0,878.0,352.0,7.508,3
-117.88,33.83,22.0,3522.0,1706.0,524.0,6.4685,0
-117.89,33.7,13.0,1857.0,838.0,525.0,3.2386,0
-120.99,38.67,8.0,4913.0,2005.0,723.0,5.4413,1
-120.66,35.5,19.0,1861.0,1040.0,363.0,3.3125,0
-122.29,37.88,52.0,2159.0,824.0,388.0,3.8897,3
-118.53,34.18,26.0,4175.0,2118.0,778.0,4.2083,0
-119.67,34.38,28.0,1814.0,849.0,420.0,3.1625,0
-121.84,37.34,27.0,2512.0,3033.0,526.0,4.25,0
-118.16,34.02,44.0,1218.0,1175.0,342.0,1.9688,0
-122.07,37.63,24.0,2329.0,1401.0,453.0,4.5913,3
-118.12,33.96,38.0,2105.0,956.0,350.0,4.4125,0
-122.03,37.35,19.0,3811.0,1930.0,1153.0,3.5154,0
-117.14,32.71,34.0,1694.0,1467.0,425.0,2.1164,4
-117.86,33.78,25.0,2635.0,1710.0,634.0,3.125,0
-121.25,38.7,16.0,3262.0,1794.0,543.0,4.2464,1
-121.47,38.55,48.0,1091.0,926.0,336.0,1.1458,1
-118.99,37.63,10.0,7744.0,483.0,224.0,3.2917,1
-121.39,38.56,19.0,8507.0,3517.0,1453.0,4.3644,1
-121.96,37.29,24.0,1240.0,690.0,276.0,5.0,0
-121.43,38.61,33.0,2289.0,1100.0,503.0,2.1694,1
-117.9,34.15,21.0,2056.0,1332.0,429.0,3.3942,1
-121.79,38.0,34.0,3090.0,1588.0,566.0,3.6118,1
-118.02,33.71,23.0,5554.0,2408.0,936.0,5.3886,0
-119.18,34.15,22.0,4769.0,5534.0,1318.0,2.4167,4
-118.36,34.03,40.0,2323.0,1847.0,614.0,1.8316,0
-122.28,37.86,52.0,3007.0,1582.0,636.0,2.5652,3
-117.95,33.99,15.0,3978.0,2418.0,665.0,5.0142,0
-117.98,34.0,22.0,3632.0,1968.0,566.0,6.019,0
-122.66,38.48,21.0,2066.0,919.0,395.0,3.267,0
-122.24,40.18,39.0,2191.0,1307.0,499.0,1.6483,1
-118.1,33.84,36.0,2572.0,1318.0,434.0,5.1836,0
-117.06,32.57,25.0,1268.0,991.0,299.0,3.0284,4
-118.34,33.79,36.0,716.0,388.0,124.0,5.0254,0
-120.81,38.89,17.0,1438.0,675.0,268.0,2.9444,1
-122.61,38.09,18.0,6205.0,2311.0,756.0,6.9081,0
-121.27,37.95,52.0,1318.0,1368.0,310.0,1.8261,1
-122.39,40.59,26.0,1279.0,1276.0,420.0,1.2404,1
-117.34,33.98,10.0,17286.0,9851.0,4616.0,1.7579,1
-118.28,34.17,22.0,2664.0,1553.0,629.0,3.6354,0
-122.48,38.54,37.0,1898.0,973.0,340.0,4.2096,1
-118.14,34.05,39.0,1880.0,954.0,349.0,3.875,0
-118.42,33.75,22.0,17591.0,6897.0,2492.0,8.2831,4
-117.75,34.05,27.0,437.0,469.0,97.0,1.7206,1
-117.12,32.75,20.0,1406.0,850.0,412.0,2.3261,4
-122.48,38.32,31.0,1701.0,680.0,324.0,3.1375,0
-122.18,37.74,46.0,2103.0,1339.0,354.0,2.2467,3
-123.07,38.46,31.0,855.0,280.0,139.0,2.3611,4
-121.34,36.76,15.0,2638.0,1289.0,357.0,4.1528,1
-118.28,34.11,46.0,1156.0,514.0,213.0,4.2019,0
-118.32,34.19,37.0,1519.0,613.0,315.0,3.0179,0
